system,workload,stage,block_latency,classifier_latency
sys_YYYY,2_8_11,3,203094.0,213771.0
sys_YYYY,0_4_5_7_11,1,12136.0,5322.0
sys_YYYY,0_4_5_7_11,2,221862.0,19861.0
sys_YYYY,0_4_5_7_11,3,51530.0,34989.0
sys_YYYY,0_4_5_7_11,4,97174.0,77026.0
sys_YYYY,0_4_5_7_11,5,293681.0,213771.0
sys_YYYY,2_3_4_5_9_11,1,96057.0,11432.0
sys_YYYY,2_3_4_5_9_11,2,55337.0,19861.0
sys_YYYY,2_3_4_5_9_11,3,82604.0,19861.0
sys_YYYY,2_3_4_5_9_11,4,51530.0,34989.0
sys_YYYY,2_3_4_5_9_11,5,252860.0,55712.0
sys_YYYY,2_3_4_5_9_11,6,137995.0,213771.0
sys_YYYY,0_1_5_8_9_11,1,12136.0,9680.0
sys_YYYY,0_1_5_8_9_11,2,33410.0,21002.0
sys_YYYY,0_1_5_8_9_11,3,239982.0,34989.0
sys_YYYY,0_1_5_8_9_11,4,187761.0,77026.0
sys_YYYY,0_1_5_8_9_11,5,65099.0,55712.0
sys_YYYY,0_1_5_8_9_11,6,137995.0,213771.0
sys_YYYY,2_3_4_5_6_9_11,1,96057.0,11432.0
sys_YYYY,2_3_4_5_6_9_11,2,55337.0,37148.0
sys_YYYY,2_3_4_5_6_9_11,3,82604.0,19861.0
sys_YYYY,2_3_4_5_6_9_11,4,51530.0,34989.0
sys_YYYY,2_3_4_5_6_9_11,5,44447.0,34989.0
sys_YYYY,2_3_4_5_6_9_11,6,208413.0,55712.0
sys_YYYY,2_3_4_5_6_9_11,7,137995.0,213771.0
